"","YEAR","NUMB_VEHC","CITY","AGE_DRVR_YNGST","AGE_DRVR_OLDEST","SPEED_LIMIT"
"518",2013,1,"Boston","25-34","25-34",NA
"519",2013,2,"Boston","45-54","45-54",NA
"520",2013,3,"Boston","25-34","25-34",40
"521",2013,2,"Boston","21-24","45-54",40
"522",2013,2,"Boston","25-34","25-34",30
"523",2013,2,"Boston","35-44","55-64",20
"524",2013,3,"Boston","65-74","65-74",35
"525",2013,3,"Boston","21-24","21-24",NA
"526",2013,2,"Boston","35-44","45-54",30
"527",2013,3,"Boston","25-34","25-34",25
"528",2013,1,"Boston","45-54","45-54",NA
"529",2013,3,"Boston","25-34","65-74",NA
"530",2013,2,"Boston","55-64","55-64",NA
"531",2013,2,"Boston","55-64","65-74",20
"532",2013,3,"Boston","25-34","35-44",35
"533",2013,2,"Boston","25-34","45-54",35
"534",2013,3,"Boston","35-44","45-54",55
"535",2013,1,"Boston","25-34","25-34",30
"536",2013,2,"Boston","35-44","55-64",30
"537",2013,2,"Boston","55-64","55-64",30
"538",2013,2,"Boston","21-24","45-54",55
"539",2013,2,"Boston","35-44","35-44",35
"540",2013,2,"Boston","35-44","55-64",30
"541",2013,2,"Boston","25-34","55-64",55
"542",2013,2,"Boston","21-24","45-54",30
"543",2013,2,"Boston","35-44","45-54",35
"544",2013,3,"Boston","21-24","25-34",55
"545",2013,3,"Boston","25-34","45-54",55
"546",2013,1,"Boston","35-44","35-44",55
"547",2013,2,"Boston","55-64","55-64",30
"548",2013,2,"Boston","25-34","25-34",NA
"549",2013,2,"Boston",NA,NA,NA
"550",2013,2,"Boston",NA,NA,NA
"551",2013,2,"Boston","25-34","65-74",NA
"552",2013,2,"Boston","35-44","35-44",30
"553",2013,2,"Boston","18-20","18-20",30
"554",2013,2,"Boston","25-34","25-34",NA
"555",2013,1,"Boston","45-54","45-54",30
"556",2013,2,"Boston","55-64","75-84",NA
"557",2013,2,"Boston","25-34","25-34",30
"558",2013,2,"Boston",NA,NA,NA
"559",2013,2,"Boston","25-34","45-54",45
"560",2013,3,"Boston","35-44","55-64",65
"561",2013,2,"Boston","35-44","35-44",35
"562",2013,2,"Boston","25-34","45-54",45
"563",2013,3,"Boston","25-34","25-34",35
"564",2013,2,"Boston","45-54","65-74",45
"565",2013,2,"Boston","21-24","25-34",45
"566",2013,2,"Boston","35-44","35-44",35
"567",2013,2,"Boston","21-24","25-34",25
"568",2013,3,"Boston","25-34","35-44",55
"569",2013,2,"Boston","21-24","25-34",55
"570",2013,1,"Boston","45-54","45-54",25
"571",2013,2,"Boston",NA,NA,55
"572",2013,2,"Boston","21-24","45-54",35
"573",2013,2,"Boston","35-44","35-44",25
"574",2013,2,"Boston","35-44","35-44",30
"575",2013,1,"Boston","35-44","35-44",55
"576",2013,2,"Boston","55-64","75-84",30
"577",2013,2,"Boston","21-24","35-44",NA
"578",2013,1,"Boston","45-54","45-54",NA
"579",2013,2,"Boston","21-24","35-44",NA
"580",2013,2,"Boston","45-54","45-54",55
"581",2013,2,"Boston","25-34","45-54",55
"582",2013,1,"Boston","45-54","45-54",30
"583",2013,2,"Boston","18-20","18-20",NA
"584",2013,2,"Boston",NA,NA,20
"585",2013,2,"Boston","21-24","21-24",NA
"586",2013,2,"Boston","25-34","65-74",30
"587",2013,2,"Boston","25-34","25-34",35
"588",2013,1,"Boston","35-44","35-44",30
"589",2013,1,"Boston","21-24","21-24",30
